barcode,email address,date
10000206,risus.Duis@Praesentinterdum.edu,2017-03-01 00:00:00.000
10000211,dui.Cum.sociis@diamdictumsapien.ca,2014-02-17 00:00:00.000
10000213,luctus.et.ultrices@ultricesDuisvolutpat.ca,2017-06-09 00:00:00.000
10000217,orci.Ut@Aeneangravidanunc.org,2016-01-05 00:00:00.000
10000219,penatibus.et@disparturient.net,2016-06-17 00:00:00.000
10000223,blandit.viverra.Donec@auguemalesuada.com,2017-10-15 00:00:00.000
10000224,a.neque@nonummyacfeugiat.net,2016-12-23 00:00:00.000
10000225,dui.Cum.sociis@diamdictumsapien.ca,2017-03-31 00:00:00.000
10000230,sed.dolor@Etiamlaoreetlibero.org,2015-06-17 00:00:00.000
10000231,In.tincidunt@orcilobortisaugue.edu,2014-11-08 00:00:00.000
10000233,est.Nunc.laoreet@fermentumrisus.net,2017-02-03 00:00:00.000
10000235,Proin.vel@Donecsollicitudinadipiscing.co.uk,2015-10-21 00:00:00.000
10000236,Fusce.mi@risusvarius.com,2016-01-24 00:00:00.000
10000237,aliquam@molestiein.co.uk,2017-09-08 00:00:00.000
10000241,nec.diam@purusMaecenas.co.uk,2017-03-15 00:00:00.000
10000243,magna.Nam@Donecluctus.co.uk,2016-06-13 00:00:00.000
10000248,est.Nunc.laoreet@fermentumrisus.net,2016-01-15 00:00:00.000
10000250,convallis.est@dolornonummyac.net,2014-07-23 00:00:00.000
10000262,dui.lectus@sitamet.com,2017-06-15 00:00:00.000
10000263,Vestibulum.ante@maurissapien.com,2017-07-27 00:00:00.000
10000267,purus.sapien@in.ca,2015-10-26 00:00:00.000
10000273,Vestibulum.ante@maurissapien.com,2017-10-25 00:00:00.000
10000283,enim.nisl.elementum@velvulputateeu.com,2016-12-24 00:00:00.000
10000286,Class.aptent@estcongue.edu,2016-05-25 00:00:00.000
10000287,nisl.Nulla.eu@egestasa.ca,2017-05-21 00:00:00.000
10000288,tincidunt@eratVivamusnisi.net,2014-10-07 00:00:00.000
10000292,malesuada.ut@Crasinterdum.net,2017-06-15 00:00:00.000
10000293,eget@liberoProin.ca,2015-11-25 00:00:00.000
10000294,Nunc.sed@nondui.edu,2017-01-24 00:00:00.000
10000296,sit@Etiam.co.uk,2016-07-20 00:00:00.000
