barcode,starting date,email address,rental status,damaged,reparable
10000029,2017-10-31 00:00:00.000,dui.lectus@sitamet.com,2017-11-12 00:00:00.000,"VERHUURD            ",1,1
10000032,2015-07-19 00:00:00.000,pharetra.sed.hendrerit@facilisis.ca,2015-07-31 00:00:00.000,"VERHUURD            ",NULL,NULL
10000032,2015-12-02 00:00:00.000,sit.amet@a.org,2015-12-03 00:00:00.000,"VERHUURD            ",NULL,NULL
10000034,2016-03-23 00:00:00.000,elit.pharetra.ut@mollisPhaselluslibero.ca,2016-04-05 00:00:00.000,"VERHUURD            ",1,1
10000035,2015-08-09 00:00:00.000,malesuada.ut@Crasinterdum.net,2015-08-19 00:00:00.000,"VERHUURD            ",1,1
10000037,2014-07-03 00:00:00.000,Integer@ornare.com,2014-07-10 00:00:00.000,"VERHUURD            ",1,1
10000040,2017-06-18 00:00:00.000,amet.orci.Ut@tellusPhaselluselit.ca,2017-06-23 00:00:00.000,"VERHUURD            ",1,1
10000042,2014-05-24 00:00:00.000,sit@Etiam.co.uk,2014-06-07 00:00:00.000,"VERHUURD            ",1,1
10000042,2015-12-17 00:00:00.000,lorem@Craseu.org,2015-12-20 00:00:00.000,"VERHUURD            ",1,1
10000046,2017-01-25 00:00:00.000,arcu.vel.quam@sed.org,2017-02-07 00:00:00.000,"VERHUURD            ",1,1
10000047,2016-10-19 00:00:00.000,Nulla.interdum.Curabitur@ipsumsodales.com,2016-10-26 00:00:00.000,"VERHUURD            ",1,1
10000047,2017-02-28 00:00:00.000,aliquam@molestiein.co.uk,2017-03-02 00:00:00.000,"VERHUURD            ",1,1
10000047,2017-03-15 00:00:00.000,dui.lectus@sitamet.com,2017-03-29 00:00:00.000,"VERHUURD            ",1,1
10000051,2015-05-10 00:00:00.000,dui.Cum.sociis@diamdictumsapien.ca,2015-05-24 00:00:00.000,"VERHUURD            ",1,1
10000051,2017-09-21 00:00:00.000,malesuada.ut@Crasinterdum.net,2017-09-23 00:00:00.000,"VERHUURD            ",1,1
10000052,2015-03-26 00:00:00.000,imperdiet@velfaucibus.edu,2015-03-28 00:00:00.000,"VERHUURD            ",1,1
10000053,2016-10-02 00:00:00.000,elit.pharetra.ut@mollisPhaselluslibero.ca,2016-10-09 00:00:00.000,"VERHUURD            ",1,0
10000053,2017-01-29 00:00:00.000,Proin.vel@Donecsollicitudinadipiscing.co.uk,2017-02-05 00:00:00.000,"VERHUURD            ",NULL,NULL
10000056,2014-07-07 00:00:00.000,In.tincidunt@orcilobortisaugue.edu,2014-07-16 00:00:00.000,"VERHUURD            ",1,1
10000057,2017-07-03 00:00:00.000,nisl.Nulla.eu@egestasa.ca,2017-07-13 00:00:00.000,"VERHUURD            ",NULL,NULL
10000058,2017-07-28 00:00:00.000,Proin.vel@Donecsollicitudinadipiscing.co.uk,2017-08-04 00:00:00.000,"VERHUURD            ",1,1
10000059,2017-03-06 00:00:00.000,sit.amet@a.org,2017-03-20 00:00:00.000,"VERHUURD            ",1,1
10000059,2017-09-18 00:00:00.000,amet@quismassaMauris.net,2017-09-28 00:00:00.000,"VERHUURD            ",1,1
10000060,2014-05-17 00:00:00.000,et.lacinia@nulla.com,2014-05-20 00:00:00.000,"VERHUURD            ",NULL,NULL
10000060,2015-11-05 00:00:00.000,elit.pharetra.ut@mollisPhaselluslibero.ca,2015-11-09 00:00:00.000,"VERHUURD            ",1,1
10000061,2014-08-25 00:00:00.000,a.neque@nonummyacfeugiat.net,2014-08-27 00:00:00.000,"VERHUURD            ",NULL,NULL
10000064,2015-02-28 00:00:00.000,ac.mattis.velit@vitae.net,2015-03-14 00:00:00.000,"VERHUURD            ",NULL,NULL
10000064,2015-04-16 00:00:00.000,congue@intempuseu.org,2015-04-17 00:00:00.000,"VERHUURD            ",NULL,NULL
10000064,2016-07-17 00:00:00.000,Fusce@luctuslobortisClass.edu,2016-07-23 00:00:00.000,"VERHUURD            ",NULL,NULL
10000065,2015-06-29 00:00:00.000,Mauris.quis@maurissapien.com,2015-07-06 00:00:00.000,"VERHUURD            ",NULL,NULL
10000071,2017-08-11 00:00:00.000,purus@eudui.co.uk,2017-08-13 00:00:00.000,"VERHUURD            ",NULL,NULL
10000072,2016-09-22 00:00:00.000,elit@Nuncpulvinar.net,2016-10-02 00:00:00.000,"VERHUURD            ",NULL,NULL
10000073,2016-12-12 00:00:00.000,gravida.sit.amet@loremipsumsodales.net,2016-12-23 00:00:00.000,"VERHUURD            ",1,1
10000074,2015-04-02 00:00:00.000,convallis.est@dolornonummyac.net,2015-04-12 00:00:00.000,"VERHUURD            ",NULL,NULL
10000074,2015-08-19 00:00:00.000,pharetra.sed.hendrerit@facilisis.ca,2015-08-20 00:00:00.000,"VERHUURD            ",NULL,NULL
10000076,2016-09-28 00:00:00.000,eros.non@nunc.co.uk,2016-10-02 00:00:00.000,"VERHUURD            ",NULL,NULL
10000077,2015-08-16 00:00:00.000,metus.Aenean@posuereatvelit.ca,2015-08-19 00:00:00.000,"VERHUURD            ",NULL,NULL
10000078,2015-01-15 00:00:00.000,Integer@ornare.com,2015-01-27 00:00:00.000,"VERHUURD            ",1,1
10000078,2015-12-22 00:00:00.000,Proin.vel@Donecsollicitudinadipiscing.co.uk,2016-01-02 00:00:00.000,"VERHUURD            ",NULL,NULL
10000079,2017-10-31 00:00:00.000,arcu.vel.quam@sed.org,2017-11-04 00:00:00.000,"VERHUURD            ",NULL,NULL
10000080,2014-11-14 00:00:00.000,dui.Cum.sociis@diamdictumsapien.ca,2014-11-27 00:00:00.000,"VERHUURD            ",NULL,NULL
10000081,2016-02-04 00:00:00.000,Cum.sociis@Donecest.com,2016-02-17 00:00:00.000,"VERHUURD            ",NULL,NULL
10000082,2016-03-23 00:00:00.000,leo@amagnaLorem.ca,2016-03-28 00:00:00.000,"VERHUURD            ",NULL,NULL
10000084,2017-03-17 00:00:00.000,lacus.Cras.interdum@cursuspurus.edu,2017-03-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000085,2014-04-02 00:00:00.000,dui.lectus@sitamet.com,2014-04-06 00:00:00.000,"VERHUURD            ",NULL,NULL
10000090,2016-11-23 00:00:00.000,risus.odio@ac.ca,2016-12-06 00:00:00.000,"VERHUURD            ",NULL,NULL
10000092,2015-04-19 00:00:00.000,sit.amet@a.org,2015-04-30 00:00:00.000,"VERHUURD            ",NULL,NULL
10000092,2015-05-25 00:00:00.000,amet@quismassaMauris.net,2015-06-01 00:00:00.000,"VERHUURD            ",NULL,NULL
10000092,2016-07-11 00:00:00.000,ultrices@egetlacus.com,2016-07-17 00:00:00.000,"VERHUURD            ",NULL,NULL
10000092,2016-11-06 00:00:00.000,Phasellus.fermentum@auctor.org,2016-11-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000092,2017-04-22 00:00:00.000,ultrices@egetlacus.com,2017-05-01 00:00:00.000,"VERHUURD            ",1,1
10000093,2016-11-04 00:00:00.000,amet@quismassaMauris.net,2016-11-14 00:00:00.000,"VERHUURD            ",NULL,NULL
10000096,2016-05-18 00:00:00.000,arcu.vel.quam@sed.org,2016-05-24 00:00:00.000,"VERHUURD            ",NULL,NULL
10000096,2017-09-02 00:00:00.000,dui.Cum.sociis@diamdictumsapien.ca,2017-09-11 00:00:00.000,"VERHUURD            ",NULL,NULL
10000097,2016-05-18 00:00:00.000,pharetra.sed.hendrerit@facilisis.ca,2016-05-29 00:00:00.000,"VERHUURD            ",NULL,NULL
10000099,2015-09-29 00:00:00.000,purus@eudui.co.uk,2015-10-10 00:00:00.000,"VERHUURD            ",NULL,NULL
10000100,2015-06-26 00:00:00.000,luctus.et.ultrices@ultricesDuisvolutpat.ca,2015-07-09 00:00:00.000,"VERHUURD            ",NULL,NULL
10000102,2016-10-11 00:00:00.000,dui.Cum.sociis@diamdictumsapien.ca,2016-10-18 00:00:00.000,"VERHUURD            ",1,0
10000102,2017-03-29 00:00:00.000,risus.odio@ac.ca,2017-03-30 00:00:00.000,"VERHUURD            ",1,1
10000103,2015-01-29 00:00:00.000,Integer@ornare.com,2015-02-04 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000104,2014-08-26 00:00:00.000,Integer@ornare.com,2014-09-03 00:00:00.000,"VERHUURD            ",NULL,NULL
10000106,2014-07-08 00:00:00.000,est.mauris.rhoncus@ultrices.co.uk,2014-07-21 00:00:00.000,"VERHUURD            ",NULL,NULL
10000107,2017-09-04 00:00:00.000,Fusce@Nullamenim.org,2017-09-12 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000109,2017-07-21 00:00:00.000,odio.sagittis@tincidunt.edu,2017-08-01 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000110,2016-01-12 00:00:00.000,nec.diam@purusMaecenas.co.uk,2016-01-20 00:00:00.000,"VERHUURD            ",NULL,NULL
10000110,2016-05-09 00:00:00.000,vel.nisl@acmattis.co.uk,2016-05-22 00:00:00.000,"VERHUURD            ",NULL,NULL
10000110,2016-11-12 00:00:00.000,magna.Nam@Donecluctus.co.uk,2016-11-16 00:00:00.000,"VERHUURD            ",NULL,NULL
10000113,2015-11-04 00:00:00.000,ac.mattis.velit@vitae.net,2015-11-13 00:00:00.000,"VERHUURD            ",NULL,NULL
10000116,2014-02-23 00:00:00.000,purus@eudui.co.uk,2014-02-24 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000123,2016-07-11 00:00:00.000,Integer@ornare.com,2016-07-15 00:00:00.000,"VERHUURD            ",NULL,NULL
10000125,2014-08-11 00:00:00.000,elit.Etiam@tinciduntnequevitae.edu,2014-08-19 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000129,2016-10-05 00:00:00.000,eget@liberoProin.ca,2016-10-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000131,2015-02-23 00:00:00.000,magna.Nam@Donecluctus.co.uk,2015-02-26 00:00:00.000,"VERHUURD            ",NULL,NULL
10000134,2016-07-24 00:00:00.000,Duis.at@sempertellusid.co.uk,2016-07-26 00:00:00.000,"VERHUURD            ",NULL,NULL
10000141,2016-08-25 00:00:00.000,nec.diam@purusMaecenas.co.uk,2016-08-31 00:00:00.000,"VERHUURD            ",NULL,NULL
10000142,2016-09-08 00:00:00.000,nisl.Nulla.eu@egestasa.ca,2016-09-13 00:00:00.000,"VERHUURD            ",NULL,NULL
10000145,2017-03-04 00:00:00.000,urna.Nullam.lobortis@tempor.com,2017-03-08 00:00:00.000,"VERHUURD            ",1,1
10000146,2015-08-05 00:00:00.000,a.neque@nonummyacfeugiat.net,2015-08-07 00:00:00.000,"VERHUURD            ",NULL,NULL
10000146,2016-07-21 00:00:00.000,urna.Nullam.lobortis@tempor.com,2016-08-01 00:00:00.000,"VERHUURD            ",NULL,NULL
10000147,2014-01-28 00:00:00.000,lorem@Craseu.org,2014-02-02 00:00:00.000,"VERHUURD            ",NULL,NULL
10000150,2015-10-15 00:00:00.000,lorem@Craseu.org,2015-10-16 00:00:00.000,"VERHUURD            ",NULL,NULL
10000151,2014-09-06 00:00:00.000,Nulla.facilisi.Sed@fermentumvelmauris.edu,2014-09-17 00:00:00.000,"VERHUURD            ",NULL,NULL
10000153,2014-01-17 00:00:00.000,Proin.vel@Donecsollicitudinadipiscing.co.uk,2014-01-26 00:00:00.000,"VERHUURD            ",NULL,NULL
10000156,2014-04-04 00:00:00.000,et.ultrices.posuere@sedorci.ca,2014-04-12 00:00:00.000,"VERHUURD            ",NULL,NULL
10000159,2017-11-07 00:00:00.000,lorem.semper.auctor@anteipsum.ca,2017-11-20 00:00:00.000,"VERHUURD            ",NULL,NULL
10000161,2014-11-08 00:00:00.000,risus.Duis@Praesentinterdum.edu,2014-11-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000161,2015-11-16 00:00:00.000,Proin.vel@Donecsollicitudinadipiscing.co.uk,2015-11-17 00:00:00.000,"VERHUURD            ",NULL,NULL
10000162,2015-06-05 00:00:00.000,aliquam@molestiein.co.uk,2015-06-11 00:00:00.000,"VERHUURD            ",NULL,NULL
10000162,2016-02-04 00:00:00.000,risus.Nulla@seddui.edu,2016-02-14 00:00:00.000,"VERHUURD            ",NULL,NULL
10000163,2014-11-15 00:00:00.000,ante.Maecenas@luctus.com,2014-11-22 00:00:00.000,"VERHUURD            ",NULL,NULL
10000164,2014-07-09 00:00:00.000,purus.sapien@in.ca,2014-07-11 00:00:00.000,"VERHUURD            ",NULL,NULL
10000164,2017-10-04 00:00:00.000,Proin.vel@Donecsollicitudinadipiscing.co.uk,2017-10-07 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000167,2014-09-06 00:00:00.000,lorem.semper.auctor@anteipsum.ca,2014-09-07 00:00:00.000,"VERHUURD            ",NULL,NULL
10000167,2016-09-21 00:00:00.000,nascetur.ridiculus@pharetraut.org,2016-09-27 00:00:00.000,"VERHUURD            ",NULL,NULL
10000168,2015-05-22 00:00:00.000,mattis.ornare.lectus@et.ca,2015-05-24 00:00:00.000,"VERHUURD            ",NULL,NULL
10000170,2015-01-26 00:00:00.000,est.Nunc.laoreet@fermentumrisus.net,2015-01-30 00:00:00.000,"VERHUURD            ",NULL,NULL
10000170,2015-02-05 00:00:00.000,elit.Etiam@tinciduntnequevitae.edu,2015-02-16 00:00:00.000,"VERHUURD            ",NULL,NULL
10000170,2016-07-20 00:00:00.000,Phasellus.fermentum@auctor.org,2016-07-25 00:00:00.000,"VERHUURD            ",1,1
10000172,2014-06-15 00:00:00.000,elit.Etiam@tinciduntnequevitae.edu,2014-06-21 00:00:00.000,"VERHUURD            ",NULL,NULL
10000173,2015-04-16 00:00:00.000,pede.Cum.sociis@lorem.net,2015-04-17 00:00:00.000,"VERHUURD            ",NULL,NULL
10000174,2016-02-02 00:00:00.000,facilisi.Sed.neque@consequatlectussit.edu,2016-02-06 00:00:00.000,"VERHUURD            ",NULL,NULL
10000177,2014-01-23 00:00:00.000,Fusce@Nullamenim.org,2014-01-28 00:00:00.000,"VERHUURD            ",NULL,NULL
10000177,2015-01-03 00:00:00.000,tincidunt@eratVivamusnisi.net,2015-01-14 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000179,2016-12-12 00:00:00.000,auctor@Pellentesque.org,2016-12-21 00:00:00.000,"VERHUURD            ",1,0
10000182,2015-08-07 00:00:00.000,pharetra.sed.hendrerit@facilisis.ca,2015-08-11 00:00:00.000,"VERHUURD            ",NULL,NULL
10000185,2014-08-04 00:00:00.000,eros.non@nunc.co.uk,2014-08-08 00:00:00.000,"VERHUURD            ",NULL,NULL
10000185,2015-11-27 00:00:00.000,mattis.ornare.lectus@et.ca,2015-12-11 00:00:00.000,"VERHUURD            ",1,1
10000185,2016-02-14 00:00:00.000,auctor@Pellentesque.org,2016-02-22 00:00:00.000,"VERHUURD            ",NULL,NULL
10000186,2015-11-30 00:00:00.000,sed.tortor@intempus.org,2015-12-13 00:00:00.000,"VERHUURD            ",NULL,NULL
10000187,2014-02-10 00:00:00.000,arcu.vel.quam@sed.org,2014-02-22 00:00:00.000,"VERHUURD            ",NULL,NULL
10000188,2014-09-16 00:00:00.000,lorem@Craseu.org,2014-09-19 00:00:00.000,"VERHUURD            ",NULL,NULL
10000188,2015-05-30 00:00:00.000,scelerisque.scelerisque@venenatis.ca,2015-05-31 00:00:00.000,"VERHUURD            ",NULL,NULL
10000188,2017-04-10 00:00:00.000,et.ultrices.posuere@sedorci.ca,2017-04-14 00:00:00.000,"VERHUURD            ",NULL,NULL
10000191,2014-08-19 00:00:00.000,Nulla.semper@veliteusem.com,2014-08-26 00:00:00.000,"VERHUURD            ",NULL,NULL
10000191,2014-10-04 00:00:00.000,arcu.vel.quam@sed.org,2014-10-11 00:00:00.000,"VERHUURD            ",1,1
10000191,2017-02-11 00:00:00.000,et.lacinia@nulla.com,2017-02-25 00:00:00.000,"VERHUURD            ",NULL,NULL
10000191,2017-04-05 00:00:00.000,Proin.vel@Donecsollicitudinadipiscing.co.uk,2017-04-13 00:00:00.000,"VERHUURD            ",NULL,NULL
10000192,2017-01-20 00:00:00.000,elit@Nuncpulvinar.net,2017-01-30 00:00:00.000,"VERHUURD            ",NULL,NULL
10000194,2014-08-18 00:00:00.000,nec.diam@purusMaecenas.co.uk,2014-08-28 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000195,2014-08-04 00:00:00.000,enim.Sed@Curabitursed.edu,2014-08-14 00:00:00.000,"VERHUURD            ",NULL,NULL
10000196,2016-02-27 00:00:00.000,et.lacinia@nulla.com,2016-03-05 00:00:00.000,"VERHUURD            ",NULL,NULL
10000198,2015-09-08 00:00:00.000,sit.amet@a.org,2015-09-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000202,2015-09-19 00:00:00.000,placerat.velit.Quisque@ametante.edu,2015-09-27 00:00:00.000,"VERHUURD            ",NULL,NULL
10000204,2014-04-09 00:00:00.000,fringilla.Donec@lobortisrisusIn.net,2014-04-19 00:00:00.000,"VERHUURD            ",NULL,NULL
10000204,2017-04-11 00:00:00.000,Cum.sociis@Donecest.com,2017-04-13 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000204,2017-05-13 00:00:00.000,nisl.Nulla.eu@egestasa.ca,2017-05-25 00:00:00.000,"VERHUURD            ",NULL,NULL
10000204,2017-07-06 00:00:00.000,risus.odio@ac.ca,2017-07-10 00:00:00.000,"VERHUURD            ",NULL,NULL
10000207,2017-01-23 00:00:00.000,Nunc.sed@nondui.edu,2017-02-05 00:00:00.000,"VERHUURD            ",NULL,NULL
10000208,2014-09-05 00:00:00.000,lorem@Craseu.org,2014-09-06 00:00:00.000,"VERHUURD            ",1,1
10000216,2014-12-22 00:00:00.000,risus.Nulla@seddui.edu,2014-12-23 00:00:00.000,"VERHUURD            ",NULL,NULL
10000217,2014-09-01 00:00:00.000,vitae.sodales@vulputatedui.com,2014-09-12 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000222,2017-10-05 00:00:00.000,Nulla.interdum.Curabitur@ipsumsodales.com,2017-10-19 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000223,2015-02-07 00:00:00.000,ante.Maecenas@luctus.com,2015-02-08 00:00:00.000,"VERHUURD            ",NULL,NULL
10000223,2015-10-28 00:00:00.000,mattis.ornare.lectus@et.ca,2015-11-10 00:00:00.000,"VERHUURD            ",NULL,NULL
10000223,2017-09-24 00:00:00.000,leo@amagnaLorem.ca,2017-10-08 00:00:00.000,"VERHUURD            ",NULL,NULL
10000224,2014-07-25 00:00:00.000,a.neque@nonummyacfeugiat.net,2014-08-01 00:00:00.000,"VERHUURD            ",NULL,NULL
10000226,2016-02-23 00:00:00.000,enim.nisl.elementum@velvulputateeu.com,2016-03-07 00:00:00.000,"VERHUURD            ",NULL,NULL
10000226,2016-05-25 00:00:00.000,pharetra.sed.hendrerit@facilisis.ca,2016-06-02 00:00:00.000,"VERHUURD            ",NULL,NULL
10000228,2014-08-07 00:00:00.000,mattis.ornare.lectus@et.ca,2014-08-19 00:00:00.000,"VERHUURD            ",NULL,NULL
10000228,2017-05-03 00:00:00.000,sit.amet@a.org,2017-05-16 00:00:00.000,"GEANNULEERD         ",NULL,NULL
10000232,2017-02-09 00:00:00.000,elit.pharetra.ut@mollisPhaselluslibero.ca,2017-02-11 00:00:00.000,"VERHUURD            ",1,0
10000237,2017-08-17 00:00:00.000,amet.orci.Ut@tellusPhaselluselit.ca,2017-08-30 00:00:00.000,"VERHUURD            ",NULL,NULL
10000239,2017-03-10 00:00:00.000,placerat.velit.Quisque@ametante.edu,2017-03-15 00:00:00.000,"VERHUURD            ",NULL,NULL
10000241,2015-09-04 00:00:00.000,congue@intempuseu.org,2015-09-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000241,2016-05-17 00:00:00.000,elit@Nuncpulvinar.net,2016-05-26 00:00:00.000,"VERHUURD            ",NULL,NULL
10000244,2015-01-12 00:00:00.000,aliquam@magnaUt.com,2015-01-13 00:00:00.000,"VERHUURD            ",1,1
10000245,2017-04-05 00:00:00.000,congue@intempuseu.org,2017-04-16 00:00:00.000,"VERHUURD            ",NULL,NULL
10000249,2016-12-18 00:00:00.000,Integer@ornare.com,2016-12-19 00:00:00.000,"VERHUURD            ",NULL,NULL
10000251,2015-11-05 00:00:00.000,eget@liberoProin.ca,2015-11-08 00:00:00.000,"VERHUURD            ",NULL,NULL
10000252,2015-03-18 00:00:00.000,sed.tortor@intempus.org,2015-03-25 00:00:00.000,"VERHUURD            ",NULL,NULL
10000257,2015-02-02 00:00:00.000,In.tincidunt@orcilobortisaugue.edu,2015-02-11 00:00:00.000,"VERHUURD            ",NULL,NULL
10000257,2017-11-04 00:00:00.000,Nulla.interdum.Curabitur@ipsumsodales.com,2017-11-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000261,2016-09-18 00:00:00.000,Fusce@luctuslobortisClass.edu,2016-09-27 00:00:00.000,"VERHUURD            ",NULL,NULL
10000263,2014-12-18 00:00:00.000,pede.Cum.sociis@lorem.net,2015-01-01 00:00:00.000,"VERHUURD            ",NULL,NULL
10000263,2017-05-26 00:00:00.000,luctus.et.ultrices@ultricesDuisvolutpat.ca,2017-05-30 00:00:00.000,"VERHUURD            ",NULL,NULL
10000264,2017-07-19 00:00:00.000,purus@eudui.co.uk,2017-07-26 00:00:00.000,"VERHUURD            ",NULL,NULL
10000265,2016-04-18 00:00:00.000,pharetra.sed.hendrerit@facilisis.ca,2016-04-23 00:00:00.000,"VERHUURD            ",NULL,NULL
10000266,2016-01-16 00:00:00.000,penatibus.et@disparturient.net,2016-01-19 00:00:00.000,"VERHUURD            ",NULL,NULL
10000268,2016-01-06 00:00:00.000,amet.orci.Ut@tellusPhaselluselit.ca,2016-01-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000269,2016-12-10 00:00:00.000,elit.pharetra.ut@mollisPhaselluslibero.ca,2016-12-14 00:00:00.000,"VERHUURD            ",NULL,NULL
10000270,2015-07-08 00:00:00.000,arcu.vel.quam@sed.org,2015-07-22 00:00:00.000,"VERHUURD            ",NULL,NULL
10000271,2016-06-14 00:00:00.000,dui.nec@luctusaliquetodio.net,2016-06-22 00:00:00.000,"VERHUURD            ",NULL,NULL
10000272,2017-02-08 00:00:00.000,sagittis@mattis.net,2017-02-13 00:00:00.000,"VERHUURD            ",NULL,NULL
10000273,2017-02-18 00:00:00.000,ac.mattis.velit@vitae.net,2017-02-26 00:00:00.000,"VERHUURD            ",NULL,NULL
10000273,2017-10-02 00:00:00.000,dui.augue@loremvehiculaet.org,2017-10-16 00:00:00.000,"VERHUURD            ",NULL,NULL
10000277,2016-01-09 00:00:00.000,fringilla.Donec@lobortisrisusIn.net,2016-01-20 00:00:00.000,"VERHUURD            ",NULL,NULL
10000279,2016-11-16 00:00:00.000,amet.orci.Ut@tellusPhaselluselit.ca,2016-11-22 00:00:00.000,"VERHUURD            ",NULL,NULL
10000279,2017-03-20 00:00:00.000,urna.Nullam.lobortis@tempor.com,2017-03-21 00:00:00.000,"VERHUURD            ",NULL,NULL
10000280,2015-05-30 00:00:00.000,imperdiet@velfaucibus.edu,2015-06-03 00:00:00.000,"VERHUURD            ",NULL,NULL
10000281,2017-02-04 00:00:00.000,est.mauris.rhoncus@ultrices.co.uk,2017-02-16 00:00:00.000,"VERHUURD            ",1,0
10000282,2014-09-14 00:00:00.000,leo@amagnaLorem.ca,2014-09-16 00:00:00.000,"VERHUURD            ",NULL,NULL
10000282,2015-04-03 00:00:00.000,nec.diam@purusMaecenas.co.uk,2015-04-07 00:00:00.000,"VERHUURD            ",NULL,NULL
10000284,2016-05-08 00:00:00.000,elit.pharetra.ut@mollisPhaselluslibero.ca,2016-05-09 00:00:00.000,"VERHUURD            ",NULL,NULL
10000284,2017-04-26 00:00:00.000,ante.Maecenas@luctus.com,2017-04-27 00:00:00.000,"VERHUURD            ",NULL,NULL
10000286,2016-02-15 00:00:00.000,aliquam@molestiein.co.uk,2016-02-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000287,2017-04-05 00:00:00.000,Fusce@luctuslobortisClass.edu,2017-04-19 00:00:00.000,"VERHUURD            ",NULL,NULL
10000289,2016-04-11 00:00:00.000,pede.Cum.sociis@lorem.net,2016-04-17 00:00:00.000,"VERHUURD            ",NULL,NULL
10000289,2017-09-16 00:00:00.000,blandit.viverra.Donec@auguemalesuada.com,2017-09-19 00:00:00.000,"VERHUURD            ",1,0
10000293,2015-05-11 00:00:00.000,auctor@Pellentesque.org,2015-05-18 00:00:00.000,"VERHUURD            ",NULL,NULL
10000293,2015-06-20 00:00:00.000,eget.volutpat.ornare@Proinnisl.net,2015-07-04 00:00:00.000,"VERHUURD            ",NULL,NULL
10000294,2016-07-15 00:00:00.000,dui.lectus@sitamet.com,2016-07-26 00:00:00.000,"VERHUURD            ",NULL,NULL
10000296,2014-10-25 00:00:00.000,lorem.semper.auctor@anteipsum.ca,2014-11-04 00:00:00.000,"VERHUURD            ",NULL,NULL
10000297,2016-11-03 00:00:00.000,gravida.sit.amet@loremipsumsodales.net,2016-11-12 00:00:00.000,"VERHUURD            ",NULL,NULL
10000298,2015-10-28 00:00:00.000,convallis.est@dolornonummyac.net,2015-11-01 00:00:00.000,"VERHUURD            ",NULL,NULL
